Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Epoch
0.6353336964012364,0.7822408985545617,0.33386020189506554,0.850627991286191,1
0.38515581010258115,0.8832574868930205,0.24572163361659558,0.903060206861207,2
0.34163961470798426,0.8913498238752816,0.2006176099795509,0.919756779164979,3
0.3131573055892033,0.9052040517785167,0.2160233804743562,0.9043560606060606,4
0.3158676758990595,0.9023231063180297,0.18689725800191453,0.9198066194852194,5
0.3013474356991023,0.9057729007633588,0.23790399651627983,0.8749501596797596,6
0.28256927805212,0.9112778920253725,0.1672679743053586,0.9346092505888506,7
0.2912271336960101,0.9100667938931297,0.17550620859558494,0.9362041462551464,8
0.2695657296515528,0.9129660893942564,0.17888711620040046,0.9387460134246133,9
0.2995711819547959,0.9085253963943656,0.17823778727910664,0.9384469696969697,10
0.25714580710417584,0.915681884943984,0.16298595540875557,0.9346092505888506,11
0.25573746720407037,0.9214254258243182,0.18049949993337447,0.9387460134246133,12
0.2707943463358352,0.9117366412213741,0.16981015485833725,0.9311702558488557,13
0.27937825994328175,0.9047086025012359,0.17638118163622693,0.9270833333333334,14
0.2525438311508226,0.9155534351145038,0.1693520305512164,0.9463217710003708,15
0.2722593529916284,0.9105622431704106,0.1852157181512818,0.9169657103943102,16
0.2642426356305443,0.9128376395647763,0.1570771556572626,0.9374501596797596,17
0.24816626561379335,0.9190215796004725,0.1672896671672338,0.933064195242795,18
0.25334110316143543,0.9183059307455107,0.16416354368825659,0.9359051043337042,19
0.26797882450189686,0.9116448914731732,0.1634478910200205,0.9283293467579465,20
