img_id,label,dataset,max,min,mean,std,q01,q09,height,width
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0115-0001.jpeg,NORMAL,train,255,0,128.90747832983968,62.30103035552067,24.0,205.0,1858,2090
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0117-0001.jpeg,NORMAL,train,255,0,100.6506241209564,59.808347333695814,11.0,180.0,1152,1422
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0119-0001.jpeg,NORMAL,train,255,0,121.97153039444586,68.85642792870436,0.0,203.0,1434,1810
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0122-0001.jpeg,NORMAL,train,255,0,132.98618841396294,64.97066297949904,14.0,204.0,1279,1618
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0125-0001.jpeg,NORMAL,train,255,0,106.22479666666666,65.08872473454802,0.0,189.0,1125,1600
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0127-0001.jpeg,NORMAL,train,255,0,130.38174561799565,57.08917294094951,41.0,192.0,1306,1974
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0128-0001.jpeg,NORMAL,train,255,0,97.19631375883152,58.816246906455646,0.0,167.0,1013,1528
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0129-0001.jpeg,NORMAL,train,255,0,115.63772344978231,62.504149857316456,10.0,191.0,1167,1384
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0131-0001.jpeg,NORMAL,train,255,0,109.54809500843983,55.032321766214096,13.0,173.0,1144,1450
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0133-0001.jpeg,NORMAL,train,255,0,109.62059827511929,64.76131733844807,0.0,182.0,993,1468
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0135-0001.jpeg,NORMAL,train,255,0,120.28915698455117,66.41151183576194,7.0,205.0,1581,1724
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0137-0001.jpeg,NORMAL,train,255,0,127.72222293385254,52.73530578411933,52.0,185.0,1044,1346
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0140-0001.jpeg,NORMAL,train,255,0,148.8811354348197,52.506305720368815,77.0,214.0,1237,1156
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0141-0001.jpeg,NORMAL,train,255,0,118.14381818037987,63.039120063512335,13.0,196.0,1453,1740
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0143-0001.jpeg,NORMAL,train,255,0,126.41026558539605,69.48443467029912,0.0,205.0,1928,2138
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0145-0001.jpeg,NORMAL,train,255,0,119.44838957254728,60.44674920967884,8.0,190.0,1156,1596
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0147-0001.jpeg,NORMAL,train,255,0,117.02452891394022,65.04319129713902,12.0,196.0,1974,2102
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0149-0001.jpeg,NORMAL,train,255,0,119.62115060707595,66.80174445921135,0.0,193.0,1152,1542
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0151-0001.jpeg,NORMAL,train,255,0,101.80603120113426,67.01835126276652,0.0,183.0,1156,1518
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0152-0001.jpeg,NORMAL,train,255,0,129.01083061942754,59.382737156384934,20.0,198.0,1133,1612
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0154-0001.jpeg,NORMAL,train,255,0,110.05971930163308,65.65320732953776,0.0,191.0,1438,1844
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0156-0001.jpeg,NORMAL,train,255,0,112.35823894714373,52.2250636723071,27.0,171.0,1209,1488
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0158-0001.jpeg,NORMAL,train,255,0,105.56449647754602,56.44884103496907,5.0,173.0,758,994
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0160-0001.jpeg,NORMAL,train,255,0,128.579742987606,54.698447584250786,55.0,195.0,1314,1750
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0162-0001.jpeg,NORMAL,train,255,0,116.6022205376916,55.77710384633814,36.0,184.0,1430,1762
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0164-0001.jpeg,NORMAL,train,255,0,132.55970144643416,51.09142217121447,59.0,186.0,808,1202
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0166-0001.jpeg,NORMAL,train,255,0,118.47418601550267,66.4014311915498,0.0,199.0,1719,1972
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0168-0001.jpeg,NORMAL,train,255,0,119.23826624591264,68.15240704844433,0.0,198.0,1187,1534
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0170-0001.jpeg,NORMAL,train,255,0,148.96676736972086,59.89052355031785,59.0,216.0,1496,2148
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0172-0001.jpeg,NORMAL,train,255,0,141.0344629017016,57.54251178710032,61.0,211.0,1893,1876
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0176-0001.jpeg,NORMAL,train,255,0,154.8842447319326,52.102496189182396,94.0,219.0,1557,1680
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0177-0001.jpeg,NORMAL,train,255,0,90.12881395070386,71.33009592387072,0.0,186.0,1615,2172
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0178-0001.jpeg,NORMAL,train,255,0,142.1678408348936,58.88086414759296,51.0,206.0,1124,1646
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0180-0001.jpeg,NORMAL,train,255,0,138.3996546929974,58.78882588815338,53.0,206.0,1650,2136
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0182-0001.jpeg,NORMAL,train,255,0,135.85938383882336,67.35871694138247,0.0,208.0,1005,1372
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0183-0001.jpeg,NORMAL,train,255,0,119.3047416278554,66.65580031781359,8.0,204.0,2025,2338
/Volumes/Yuchen_Drive/Chest_xray/train/NORMAL/IM-0185-0001.jpeg,NORMAL,train,255,0,129.6469850491637,65.52382012329328,10.0,209.0,1190,1458
